code,title,tax_type,category,asset_tax_category,url,source_index_url,source_h2,source_h3,markdown_path,law_basis_date,fetch_status,error
4102,相続税がかかる場合,相続税,相続と税金,相続税,https://www.nta.go.jp/taxes/shiraberu/taxanswer/sozoku/4102.htm,https://www.nta.go.jp/taxes/shiraberu/taxanswer/code/index.htm,相続税,相続と税金,data/markdown/nta_taxanswer_asset_tax/01_inheritance_tax/4102_相続税がかかる場合.md,令和7年4月1日現在法令等,ok,
4103,相続時精算課税の選択,相続税,相続と税金,相続税,https://www.nta.go.jp/taxes/shiraberu/taxanswer/sozoku/4103.htm,https://www.nta.go.jp/taxes/shiraberu/taxanswer/code/index.htm,相続税,相続と税金,data/markdown/nta_taxanswer_asset_tax/01_inheritance_tax/4103_相続時精算課税の選択.md,令和7年4月1日現在法令等,ok,
4105,相続税がかかる財産,相続税,相続と税金,相続税,https://www.nta.go.jp/taxes/shiraberu/taxanswer/sozoku/4105.htm,https://www.nta.go.jp/taxes/shiraberu/taxanswer/code/index.htm,相続税,相続と税金,data/markdown/nta_taxanswer_asset_tax/01_inheritance_tax/4105_相続税がかかる財産.md,令和7年4月1日現在法令等,ok,
4108,相続税がかからない財産,相続税,相続と税金,相続税,https://www.nta.go.jp/taxes/shiraberu/taxanswer/sozoku/4108.htm,https://www.nta.go.jp/taxes/shiraberu/taxanswer/code/index.htm,相続税,相続と税金,data/markdown/nta_taxanswer_asset_tax/01_inheritance_tax/4108_相続税がかからない財産.md,令和7年4月1日現在法令等,ok,
4111,交通事故の損害賠償金,相続税,相続と税金,相続税,https://www.nta.go.jp/taxes/shiraberu/taxanswer/sozoku/4111.htm,https://www.nta.go.jp/taxes/shiraberu/taxanswer/code/index.htm,相続税,相続と税金,data/markdown/nta_taxanswer_asset_tax/01_inheritance_tax/4111_交通事故の損害賠償金.md,令和7年4月1日現在法令等,ok,
4114,相続税の課税対象になる死亡保険金,相続税,相続と税金,相続税,https://www.nta.go.jp/taxes/shiraberu/taxanswer/sozoku/4114.htm,https://www.nta.go.jp/taxes/shiraberu/taxanswer/code/index.htm,相続税,相続と税金,data/markdown/nta_taxanswer_asset_tax/01_inheritance_tax/4114_相続税の課税対象になる死亡保険金.md,令和7年4月1日現在法令等,ok,
4117,相続税の課税対象になる死亡退職金,相続税,相続と税金,相続税,https://www.nta.go.jp/taxes/shiraberu/taxanswer/sozoku/4117.htm,https://www.nta.go.jp/taxes/shiraberu/taxanswer/code/index.htm,相続税,相続と税金,data/markdown/nta_taxanswer_asset_tax/01_inheritance_tax/4117_相続税の課税対象になる死亡退職金.md,令和7年4月1日現在法令等,ok,
4120,弔慰金を受け取ったときの取扱い,相続税,相続と税金,相続税,https://www.nta.go.jp/taxes/shiraberu/taxanswer/sozoku/4120.htm,https://www.nta.go.jp/taxes/shiraberu/taxanswer/code/index.htm,相続税,相続と税金,data/markdown/nta_taxanswer_asset_tax/01_inheritance_tax/4120_弔慰金を受け取ったときの取扱い.md,令和7年4月1日現在法令等,ok,
4123,相続税等の課税対象になる年金受給権,相続税,相続と税金,相続税,https://www.nta.go.jp/taxes/shiraberu/taxanswer/sozoku/4123.htm,https://www.nta.go.jp/taxes/shiraberu/taxanswer/code/index.htm,相続税,相続と税金,data/markdown/nta_taxanswer_asset_tax/01_inheritance_tax/4123_相続税等の課税対象になる年金受給権.md,令和7年4月1日現在法令等,ok,
4124,相続した事業の用や居住の用の宅地等の価額の特例（小規模宅地等の特例）,相続税,相続と税金,相続税,https://www.nta.go.jp/taxes/shiraberu/taxanswer/sozoku/4124.htm,https://www.nta.go.jp/taxes/shiraberu/taxanswer/code/index.htm,相続税,相続と税金,data/markdown/nta_taxanswer_asset_tax/01_inheritance_tax/4124_相続した事業の用や居住の用の宅地等の価額の特例（小規模宅地等の特例）.md,令和7年4月1日現在法令等,ok,
4126,相続財産から控除できる債務,相続税,相続と税金,相続税,https://www.nta.go.jp/taxes/shiraberu/taxanswer/sozoku/4126.htm,https://www.nta.go.jp/taxes/shiraberu/taxanswer/code/index.htm,相続税,相続と税金,data/markdown/nta_taxanswer_asset_tax/01_inheritance_tax/4126_相続財産から控除できる債務.md,令和7年4月1日現在法令等,ok,
4129,相続財産から控除できる葬式費用,相続税,相続と税金,相続税,https://www.nta.go.jp/taxes/shiraberu/taxanswer/sozoku/4129.htm,https://www.nta.go.jp/taxes/shiraberu/taxanswer/code/index.htm,相続税,相続と税金,data/markdown/nta_taxanswer_asset_tax/01_inheritance_tax/4129_相続財産から控除できる葬式費用.md,令和7年4月1日現在法令等,ok,
4132,相続人の範囲と法定相続分,相続税,相続と税金,相続税,https://www.nta.go.jp/taxes/shiraberu/taxanswer/sozoku/4132.htm,https://www.nta.go.jp/taxes/shiraberu/taxanswer/code/index.htm,相続税,相続と税金,data/markdown/nta_taxanswer_asset_tax/01_inheritance_tax/4132_相続人の範囲と法定相続分.md,令和7年4月1日現在法令等,ok,
4138,相続人が外国に居住しているとき,相続税,相続と税金,相続税,https://www.nta.go.jp/taxes/shiraberu/taxanswer/sozoku/4138.htm,https://www.nta.go.jp/taxes/shiraberu/taxanswer/code/index.htm,相続税,相続と税金,data/markdown/nta_taxanswer_asset_tax/01_inheritance_tax/4138_相続人が外国に居住しているとき.md,令和7年4月1日現在法令等,ok,
4141,相続財産を公益法人などに寄附したとき,相続税,相続と税金,相続税,https://www.nta.go.jp/taxes/shiraberu/taxanswer/sozoku/4141.htm,https://www.nta.go.jp/taxes/shiraberu/taxanswer/code/index.htm,相続税,相続と税金,data/markdown/nta_taxanswer_asset_tax/01_inheritance_tax/4141_相続財産を公益法人などに寄附したとき.md,令和7年4月1日現在法令等,ok,
4143,特定の一般社団法人等に対する課税,相続税,相続と税金,相続税,https://www.nta.go.jp/taxes/shiraberu/taxanswer/sozoku/4143.htm,https://www.nta.go.jp/taxes/shiraberu/taxanswer/code/index.htm,相続税,相続と税金,data/markdown/nta_taxanswer_asset_tax/01_inheritance_tax/4143_特定の一般社団法人等に対する課税.md,令和7年4月1日現在法令等,ok,
